country,access
Afghanistan,0.43
Albania,0.98
Algeria,0.88
Andorra,1.00
Angola,0.50
Antigua and Barbuda,0.88
Argentina,
Armenia,0.94
Australia,1.00
Austria,1.00
Azerbaijan,0.93
Bahamas,0.95
Bahrain,1.00
Bangladesh,0.48
Barbados,0.97
Belarus,0.98
Belgium,1.00
Belize,0.88
Benin,0.17
Bhutan,0.69
Bolivia,0.61
Bosnia and Herzegovina,0.95
Botswana,0.77
Brazil,0.88
Brunei,
Bulgaria,0.86
Burkina Faso,0.19
Burundi,0.46
Cambodia,0.59
Cameroon,0.39
Canada,0.99
Central African Republic,
Chad,0.08
Chile,1.00
China,0.85
Colombia,0.90
Comoros,0.36
Congo,0.21
Costa Rica,0.98
Croatia,0.97
Cuba,0.93
Cyprus,0.99
Czech Republic,0.99
Denmark,1.00
Djibouti,0.64
Dominica,
Dominican Republic,0.84
Ecuador,0.88
Egypt,0.94
El Salvador,0.87
Equatorial Guinea,0.66
Eritrea,
Estonia,0.99
Ethiopia,0.07
Fiji,0.95
Finland,0.99
France,0.99
Gabon,0.47
Gambia,0.39
Georgia,0.90
Germany,0.99
Ghana,0.19
Greece,0.99
Grenada,0.92
Guatemala,0.65
Guinea,0.23
Guyana,0.86
Haiti,0.35
Honduras,0.81
Hungary,0.98
Iceland,0.99
India,0.60
Indonesia,0.73
Iran,0.88
Iraq,0.94
Ireland,0.91
Israel,1.00
Italy,0.99
Jamaica,0.87
Japan,1.00
Jordan,0.97
Kazakhstan,0.98
Kenya,0.29
Kiribati,0.48
Kuwait,1.00
Kyrgyz Republic,0.97
Lao,0.75
Latvia,0.92
Lebanon,0.99
Lesotho,0.43
Liberia,0.17
Libya,1.00
Liechtenstein,1.00
Lithuania,0.93
Luxembourg,0.98
Madagascar,0.11
Malawi,0.26
Malaysia,1.00
Maldives,0.99
Mali,0.39
Malta,1.00
Marshall Islands,0.84
Mauritania,0.48
Mauritius,0.96
Mexico,0.91
"Micronesia, Fed. Sts.",0.88
Monaco,1.00
Mongolia,0.59
Montenegro,0.98
Morocco,0.89
Mozambique,0.29
Myanmar,0.64
Namibia,0.35
Nauru,0.66
Nepal,0.62
Netherlands,0.98
New Zealand,1.00
Nicaragua,0.74
Niger,0.14
Nigeria,0.39
North Korea,0.83
Norway,0.98
Oman,1.00
Pakistan,0.60
Palau,1.00
Panama,0.83
Papua New Guinea,0.13
Paraguay,0.90
Peru,0.74
Philippines,0.77
Poland,0.99
Portugal,1.00
Qatar,1.00
Romania,0.84
Russia,0.91
Rwanda,0.67
Samoa,0.98
San Marino,1.00
Sao Tome and Principe,0.43
Saudi Arabia,1.00
Senegal,0.52
Serbia,0.98
Seychelles,1.00
Sierra Leone,0.16
Singapore,1.00
Slovakia,0.98
Slovenia,0.99
Solomon Islands,0.34
Somalia,0.38
South Africa,0.76
Spain,1.00
Sri Lanka,0.96
Sudan,0.37
Suriname,0.85
Sweden,0.99
Switzerland,1.00
Syria,0.91
Tajikistan,0.97
Thailand,0.99
Timor-Leste,0.54
Togo,0.16
Tonga,0.93
Trinidad and Tobago,0.93
Tunisia,0.91
Turkey,0.97
Turkmenistan,0.99
Tuvalu,0.84
Uganda,0.19
Ukraine,0.96
United Arab Emirates,0.99
United Kingdom,0.99
United States,1.00
Uruguay,0.97
Uzbekistan,1.00
Vanuatu,0.34
Venezuela,0.94
Vietnam,0.84
Yemen,0.59
Zambia,0.26
Zimbabwe,0.36